Name,Version,Download URL,Package URL,License,Description
bosh-dns-aliases,0.0.3,https://bosh.io/d/github.com/cloudfoundry/bosh-dns-aliases-release?v=0.0.3,https://github.com/cloudfoundry/bosh-dns-aliases-release,Apache-2.0,Cloud Foundry DNS aliases
capi,1.69.0,https://bosh.io/d/github.com/cloudfoundry/capi-release?v=1.69.0,https://github.com/cloudfoundry/capi-release,Apache-2.0,Cloud Foundry cloud controller
cf-cli,1.8.0,https://bosh.io/d/github.com/bosh-packages/cf-cli-release?v=1.8.0,https://github.com/bosh-packages/cf-cli-release,Apache-2.0,Cloud Foundry command line client
cf-mysql,36.15.0,https://bosh.io/d/github.com/cloudfoundry/cf-mysql-release?v=36.15.0,https://github.com/cloudfoundry/cf-mysql-release,Apache-2.0,Cloud Foundry MySQL release
cf-networking,2.16.0,https://bosh.io/d/github.com/cloudfoundry/cf-networking-release?v=2.16.0,https://github.com/cloudfoundry/cf-networking-release,Apache-2.0,Cloud Foundry container networking
cf-smoke-tests,40.0.9,https://bosh.io/d/github.com/cloudfoundry/cf-smoke-tests-release?v=40.0.9,https://github.com/cloudfoundry/cf-smoke-tests-release,Apache-2.0,Cloud Foundry smoke tests
cf-syslog-drain,7.1,https://bosh.io/d/github.com/cloudfoundry/cf-syslog-drain-release?v=7.1,https://github.com/cloudfoundry/cf-syslog-drain-release,Apache-2.0,Cloud Foundry syslog drain
cflinuxfs2,1.238.0,https://bosh.io/d/github.com/cloudfoundry/cflinuxfs2-release?v=1.238.0,https://github.com/cloudfoundry/cflinuxfs2-release,Apache-2.0,Cloud Foundry container root file system
credhub,2.0.2,https://bosh.io/d/github.com/pivotal-cf/credhub-release?v=2.0.2,https://github.com/pivotal-cf/credhub-release,Apache-2.0,Cloud Foundry credential management
bpm,0.12.3,https://bosh.io/d/github.com/cloudfoundry-incubator/bpm-release?v=0.12.3,https://github.com/cloudfoundry-incubator/bpm-release,Apache-2.0,Cloud Foundry isolated BOSH jobs
diego,2.18.0,https://bosh.io/d/github.com/cloudfoundry/diego-release?v=2.18.0,https://github.com/cloudfoundry/diego-release,Apache-2.0,Cloud Foundry application runtime
garden-runc,1.16.4,https://bosh.io/d/github.com/cloudfoundry/garden-runc-release?v=1.16.4,https://github.com/cloudfoundry/garden-runc-release,Apache-2.0,Cloud Foundry OCI container manager
log-cache,1.4.6,https://bosh.io/d/github.com/cloudfoundry/log-cache-release?v=1.4.6,https://github.com/cloudfoundry/log-cache-release,Apache-2.0,Cloud Foundry logging cache
loggregator,103.2,https://bosh.io/d/github.com/cloudfoundry/loggregator-release?v=103.2,https://github.com/cloudfoundry/loggregator-release,Apache-2.0,Cloud Foundry logging
loggregator-agent,2.3,https://bosh.io/d/github.com/cloudfoundry/loggregator-agent-release?v=2.3,https://github.com/cloudfoundry/loggregator-agent-release,Apache-2.0,Cloud Foundry logging agent
nats,26,https://bosh.io/d/github.com/cloudfoundry/nats-release?v=26,https://github.com/cloudfoundry/nats-release,Apache-2.0,Cloud Foundry NATS release
routing,0.182.0,https://bosh.io/d/github.com/cloudfoundry-incubator/cf-routing-release?v=0.182.0,https://github.com/cloudfoundry-incubator/cf-routing-release,Apache-2.0,Cloud Foundry HTTP and TCP routing
silk,2.16.0,https://bosh.io/d/github.com/cloudfoundry/silk-release?v=2.16.0,https://github.com/cloudfoundry/silk-release,Apache-2.0,Cloud Foundry network fabric
statsd-injector,1.4.0,https://bosh.io/d/github.com/cloudfoundry/statsd-injector-release?v=1.4.0,https://github.com/cloudfoundry/statsd-injector-release,Apache-2.0,Cloud Foundry companion component to Metron that receives Statsd and emits to Metron
uaa,61.0,https://bosh.io/d/github.com/cloudfoundry/uaa-release?v=61.0,https://github.com/cloudfoundry/uaa-release,Apache-2.0,CloudFoundry user account and authentication server
binary-buildpack,1.0.25,https://bosh.io/d/github.com/cloudfoundry/binary-buildpack-release?v=1.0.25,https://github.com/cloudfoundry/binary-buildpack-release,Apache-2.0,Cloud Foundry binary buildpack
dotnet-core-buildpack,2.1.4,https://bosh.io/d/github.com/cloudfoundry/dotnet-core-buildpack-release?v=2.1.4,https://github.com/cloudfoundry/dotnet-core-buildpack-release,Apache-2.0,Cloud Foundry .Net Core buildpack
nodejs-buildpack,1.6.30,https://bosh.io/d/github.com/cloudfoundry/nodejs-buildpack-release?v=1.6.30,https://github.com/cloudfoundry/nodejs-buildpack-release,Apache-2.0,Cloud Foundry NodeJS buildpack
php-buildpack,4.3.59,https://bosh.io/d/github.com/cloudfoundry/php-buildpack-release?v=4.3.59,https://github.com/cloudfoundry/php-buildpack-release,Apache-2.0,Cloud Foundry PHP buildpack
python-buildpack,1.6.20,https://bosh.io/d/github.com/cloudfoundry/python-buildpack-release?v=1.6.20,https://github.com/cloudfoundry/python-buildpack-release,Apache-2.0,Cloud Foundry Python buildpack
ruby-buildpack,1.7.22,https://bosh.io/d/github.com/cloudfoundry/ruby-buildpack-release?v=1.7.22,https://github.com/cloudfoundry/ruby-buildpack-release,Apache-2.0,Cloud Foundry Ruby buildpack
staticfile-buildpack,1.4.31,https://bosh.io/d/github.com/cloudfoundry/staticfile-buildpack-release?v=1.4.31,https://github.com/cloudfoundry/staticfile-buildpack-release,Apache-2.0,Cloud Foundry static file buildpack
go-buildpack,1.8.26,https://bosh.io/d/github.com/cloudfoundry/go-buildpack-release?v=1.8.26,https://github.com/cloudfoundry/go-buildpack-release,Apache-2.0,Cloud Foundry Go buildpack
java-buildpack,4.15,https://bosh.io/d/github.com/cloudfoundry/java-buildpack-release?v=4.15,https://github.com/cloudfoundry/java-buildpack-release,Apache-2.0,Cloud Foundry Java buildpack
